Breed,Weight_kg,Age_years,RBC,Hb,WBC,Platelets,Glucose,Creatinine,ALT,MCV,MCH,MCHC,MedicalHistory,Vd,ke,CL,fi,D_eff,Xylazine_Dose_mg_per_kg,Safe_Unsafe
Mixed Breed,9.3148,9.1458,7.555,8.206,9.652,550.0,112.9,1.189,33.7,60.2651,26.6533,28.1123,No previous conditions,2.033,0.0193,0.0392,0.5403,0.1389,0.424,0
Labrador Retriever,37.5,11.7,4.88,11.951,5.473,182.0,72.4,1.457,81.5,84.6,26.02,30.33,No previous conditions,2.018,0.0237,0.0478,0.5308,0.2333,0.663,1
Rottweiler,40.231,6.8739,6.047,14.687,8.647,239.3,82.7,1.049,40.1,84.4401,25.239,30.1931,Not vaccinated,2.007,0.0221,0.0443,0.5301,0.2023,0.564,1
Bulldog,15.1,5.5,6.099,16.785,7.083,293.0,100.9,1.228,31.6,84.38,22.34,30.98,Allergies,2.09,0.0204,0.0426,0.5258,0.1686,0.523,1
Poodle,5.4855,7.2643,5.743,13.028,9.066,242.3,109.6,0.89,57.4,78.141,20.7477,31.7905,Chronic illness,1.841,0.0202,0.0372,0.5409,0.2138,0.63,0
Rottweiler,37.9,8.6,6.094,14.21,8.693,276.6,81.5,1.249,35.4,82.57,25.02,30.69,Not vaccinated,2.02,0.0237,0.0479,0.5283,0.1787,0.505,1
Mixed Breed,15.1,12.7,5.424,14.204,8.275,235.8,112.2,1.277,35.3,83.38,26.41,28.0,Parasite history,2.082,0.0194,0.0404,0.5289,0.1826,0.546,1
Beagle,25.4,9.2,5.419,14.034,9.121,152.4,83.0,1.758,57.9,83.03,27.34,30.48,Previous kidney disease,1.918,0.0199,0.0382,0.5286,0.1848,0.537,1
German Shepherd,31.7,4.2,6.762,14.832,3.974,233.6,94.6,1.231,43.9,76.45,27.03,30.47,Allergies,1.95,0.0232,0.0452,0.5279,0.2348,0.672,1
Yorkshire Terrier,6.0581,0.4892,5.998,15.06,11.538,189.3,71.7,1.125,71.3,81.5214,26.8556,32.1417,Previous heart condition,1.868,0.0205,0.0383,0.5202,0.1927,0.578,0
Mixed Breed,34.0585,9.0109,5.489,15.221,6.023,282.5,100.5,1.355,49.1,84.1238,24.9504,32.8486,Not vaccinated,2.026,0.0198,0.0401,0.5375,0.2098,0.612,1
German Shepherd,30.0885,6.9999,6.593,17.799,5.289,161.7,97.4,1.227,52.1,87.4297,21.271,32.4131,Dental issues,1.897,0.0221,0.0419,0.5134,0.2095,0.593,1
Golden Retriever,45.0,5.7,6.438,13.046,6.756,242.8,78.9,1.372,35.8,65.65,20.26,29.98,No previous conditions,2.018,0.0241,0.0486,0.5296,0.1887,0.542,0
Rottweiler,27.9,12.4,4.847,11.684,7.447,319.3,89.9,1.229,49.6,84.81,20.31,30.9,No previous conditions,1.973,0.0237,0.0468,0.5314,0.1771,0.504,1
Beagle,28.4765,14.8351,6.177,16.804,3.711,140.6,97.1,1.135,41.1,89.6584,24.9444,33.5261,Not vaccinated,2.035,0.0221,0.045,0.5346,0.239,0.706,1
Mixed Breed,21.4234,2.5771,5.675,16.013,12.502,307.5,77.6,1.076,64.1,75.8466,25.5167,32.9177,Skin conditions history,1.975,0.0212,0.0419,0.5252,0.1911,0.588,1
Mixed Breed,17.8,2.4,5.91,13.261,8.785,269.9,71.0,0.743,33.2,77.18,19.89,29.21,Skin conditions history,2.037,0.0202,0.0411,0.5292,0.1427,0.427,1
German Shepherd,35.6,3.6,6.93,18.45,3.631,218.2,73.4,1.019,37.7,89.6,24.37,32.07,Skin conditions history,1.987,0.0214,0.0425,0.5233,0.2099,0.595,0
Mixed Breed,32.4453,4.6311,6.014,9.656,5.104,121.5,107.7,1.437,48.6,69.8649,18.9221,28.5743,Parasite history,1.978,0.018,0.0356,0.5222,0.1915,0.576,0
Poodle,4.4,3.7,7.391,17.405,4.325,129.0,50.0,0.699,50.2,79.83,27.54,31.16,No previous conditions,1.84,0.0201,0.037,0.5241,0.2049,0.598,1
Mixed Breed,16.8,13.6,6.411,16.792,7.653,142.9,105.2,0.81,52.1,87.85,26.0,30.39,Skin conditions history,1.99,0.0196,0.039,0.5258,0.197,0.585,1
Rottweiler,33.6736,12.4581,5.507,11.854,14.598,404.6,91.3,1.111,56.9,71.4202,20.1694,30.3987,Allergies,1.977,0.0218,0.0431,0.5278,0.2068,0.589,0
Rottweiler,39.4,4.8,5.686,12.728,6.05,331.1,82.6,1.193,38.2,79.43,25.38,29.72,Allergies,2.014,0.0193,0.0389,0.5301,0.2097,0.595,0
Poodle,8.816,8.0434,6.485,11.488,7.056,269.1,89.0,0.672,65.7,68.7205,25.7999,31.0427,Previous heart condition,2.073,0.0224,0.0464,0.5369,0.1974,0.582,1
Yorkshire Terrier,6.1,14.2,6.544,12.321,5.179,300.2,95.8,0.69,46.1,73.89,21.14,28.51,Vaccinated,1.834,0.0216,0.0396,0.5308,0.1803,0.549,1
Bulldog,18.1,0.7,7.312,13.737,6.292,200.7,103.4,1.031,49.9,62.07,26.64,31.34,Skin conditions history,2.214,0.0194,0.043,0.5293,0.1684,0.526,1
Rottweiler,25.8,2.9,5.452,13.24,9.424,550.0,123.3,1.239,84.6,94.68,19.23,28.0,Chronic illness,1.961,0.0202,0.0396,0.5303,0.2307,0.655,0
Boxer,18.3,12.8,5.4,12.45,3.0,196.1,99.7,0.957,47.9,70.32,23.09,28.66,Skin conditions history,2.006,0.021,0.0421,0.5307,0.2093,0.637,0
Yorkshire Terrier,5.3,13.8,6.367,18.954,5.887,196.5,84.5,0.609,42.9,86.5,27.39,33.02,Not vaccinated,1.928,0.0202,0.0389,0.523,0.1903,0.57,1
Poodle,5.4,11.8,5.845,13.818,6.756,348.5,86.3,1.202,97.0,83.04,25.86,32.23,Vaccinated,1.8,0.0201,0.0362,0.5289,0.214,0.631,1
Yorkshire Terrier,6.3,12.3,4.767,11.519,8.442,199.1,86.7,1.041,45.6,78.69,22.93,29.28,Recent surgery,1.875,0.0219,0.0411,0.5315,0.1748,0.533,1
Poodle,3.9557,8.5946,6.191,14.187,7.633,361.9,89.0,1.144,111.8,85.3367,21.8308,29.7996,Recent surgery,1.853,0.0194,0.0359,0.527,0.2163,0.635,0
Labrador Retriever,34.4025,10.1521,3.859,8.0,11.273,295.1,109.7,1.192,130.0,92.0869,22.1078,29.7257,Not vaccinated,2.037,0.0231,0.0471,0.5422,0.2475,0.668,0
Mixed Breed,19.7,8.3,5.491,15.935,7.378,270.5,84.7,1.118,37.5,84.3,22.6,29.98,Parasite history,2.097,0.0201,0.0421,0.5264,0.2058,0.612,1
Boxer,25.8776,9.3291,4.707,13.817,8.038,332.4,82.5,1.134,33.0,92.3004,24.7765,33.124,Dental issues,2.07,0.0226,0.0468,0.5479,0.174,0.511,1
Yorkshire Terrier,6.0212,7.8421,5.302,11.648,9.597,181.3,96.4,1.056,77.9,69.0397,21.4905,33.0161,Recent surgery,2.004,0.0192,0.0385,0.5219,0.1391,0.458,0
Labrador Retriever,28.5461,14.1236,6.176,15.103,12.22,249.9,102.1,1.324,31.9,81.927,24.6165,33.2987,Not vaccinated,2.102,0.0213,0.0448,0.5316,0.1866,0.538,1
Rottweiler,25.0,10.1,6.01,15.656,4.915,175.9,100.2,1.429,52.4,87.35,22.57,30.13,No previous conditions,2.089,0.0223,0.0466,0.527,0.1873,0.528,1
Poodle,3.574,8.2509,7.523,20.192,12.286,176.9,84.2,0.919,51.1,91.8861,20.4843,29.8162,Parasite history,1.98,0.0203,0.0402,0.522,0.1751,0.49,1
Rottweiler,44.6042,2.905,7.348,12.224,9.526,270.7,76.9,2.2,36.2,61.9926,19.9053,28.24,Previous kidney disease,2.061,0.0224,0.0462,0.5164,0.2195,0.621,0
Bulldog,18.8646,3.9446,5.946,15.035,8.706,207.0,56.9,1.251,98.6,86.4236,26.5241,30.0201,Chronic illness,2.12,0.0199,0.0422,0.5313,0.149,0.462,0
Yorkshire Terrier,3.126,9.3586,4.051,10.557,4.939,161.1,78.0,0.82,111.9,83.342,23.4695,32.1163,Previous heart condition,1.953,0.0208,0.0406,0.5083,0.1447,0.44,0
Golden Retriever,40.4,5.6,4.725,12.938,8.443,300.6,130.8,1.801,60.6,82.82,24.38,30.12,Chronic illness,2.043,0.0232,0.0474,0.5307,0.2216,0.638,0
Bulldog,26.4,4.2,4.808,12.431,4.599,260.4,94.1,1.124,67.4,82.97,24.75,31.87,Recent surgery,2.241,0.0187,0.0419,0.5306,0.1516,0.475,0
Golden Retriever,36.5,3.6,4.692,11.303,5.193,235.5,92.2,1.334,97.2,83.71,23.97,30.32,Recent surgery,1.919,0.021,0.0403,0.5319,0.2051,0.592,1
Labrador Retriever,37.0891,4.2873,6.732,20.524,10.68,328.6,95.6,1.443,42.6,83.2969,22.4867,33.8163,No previous conditions,2.068,0.0226,0.0467,0.5337,0.1999,0.563,1
Beagle,28.0,3.5,5.698,15.601,4.848,256.1,100.3,1.771,40.4,86.72,23.72,31.49,Chronic illness,1.957,0.02,0.0391,0.5271,0.2341,0.678,1
Poodle,3.8329,7.4826,5.973,17.836,6.789,151.9,132.7,0.84,45.5,93.3641,26.7543,33.1428,Parasite history,1.936,0.0221,0.0428,0.5092,0.1989,0.562,1
Bulldog,30.0,11.0,6.506,11.346,4.126,281.9,90.0,0.95,42.9,64.31,26.21,29.6,Not vaccinated,2.231,0.0189,0.0422,0.5318,0.1359,0.427,0
Golden Retriever,39.8,5.6,5.344,12.351,9.764,330.5,113.4,1.223,50.3,84.46,19.15,30.28,Parasite history,1.991,0.0232,0.0462,0.5311,0.2255,0.65,1
Bulldog,15.0,3.2,5.114,10.648,7.735,471.7,111.3,0.719,62.3,69.92,20.81,28.73,Vaccinated,2.094,0.0202,0.0423,0.533,0.14,0.441,1
German Shepherd,45.0,9.8,4.729,14.791,8.443,359.6,99.6,1.33,42.1,89.48,24.65,32.43,No previous conditions,1.867,0.0219,0.0409,0.528,0.2057,0.589,1
Yorkshire Terrier,4.314,8.0689,5.665,12.085,14.412,243.0,97.2,0.697,32.1,83.0132,27.1266,29.2174,Skin conditions history,1.814,0.0215,0.039,0.5232,0.1701,0.542,1
Bulldog,19.4,5.2,5.853,13.383,7.45,311.5,73.1,0.948,60.1,86.38,21.21,30.14,Parasite history,2.194,0.0187,0.041,0.5291,0.1623,0.507,0
Labrador Retriever,39.5194,15.0729,5.146,13.611,5.671,244.1,67.3,1.408,58.4,87.9978,22.9659,29.3329,Allergies,1.961,0.0212,0.0416,0.5227,0.2179,0.617,1
German Shepherd,35.7,6.3,6.044,15.761,8.055,274.6,97.2,1.077,57.3,84.66,22.34,30.61,Chronic illness,2.018,0.0211,0.0426,0.5269,0.2178,0.622,0
Rottweiler,35.4132,15.0498,5.958,13.003,6.482,220.2,88.2,1.406,38.0,83.2726,21.0142,32.2827,Skin conditions history,1.949,0.0193,0.0376,0.5317,0.2391,0.671,1
Labrador Retriever,45.0245,14.2042,5.549,14.581,5.236,246.3,101.3,1.385,29.7,87.4804,25.4061,32.985,Not vaccinated,1.926,0.021,0.0404,0.5278,0.2114,0.59,0
Yorkshire Terrier,4.5128,10.0143,5.556,13.867,6.288,250.2,75.3,0.832,48.1,87.6498,24.9747,29.7315,No previous conditions,1.814,0.0216,0.0392,0.5278,0.186,0.544,1
Rottweiler,39.2529,0.5069,6.958,13.949,3.6,255.3,95.0,1.722,97.4,80.2493,19.7994,31.8637,Chronic illness,1.852,0.0224,0.0415,0.53,0.1743,0.528,0
Poodle,3.5,11.9,6.063,15.553,9.667,238.9,70.4,1.223,50.6,84.63,19.52,31.37,Previous heart condition,1.958,0.0204,0.0399,0.5266,0.1759,0.516,1
Bulldog,17.7494,6.6137,5.227,8.811,9.13,400.5,81.4,1.433,70.0,61.2344,25.7648,27.6398,Chronic illness,2.024,0.0189,0.0382,0.5352,0.1747,0.569,0
Yorkshire Terrier,4.2,15.0,6.312,13.931,7.456,275.9,102.0,0.851,46.0,79.91,22.89,32.22,Not vaccinated,1.781,0.0213,0.0379,0.5291,0.147,0.446,0
German Shepherd,34.2,3.9,6.724,18.844,7.009,207.4,91.6,1.593,93.3,84.76,23.4,31.73,Previous kidney disease,1.976,0.0193,0.0381,0.5232,0.1874,0.531,0
Labrador Retriever,29.4749,2.7476,6.068,17.722,7.076,215.9,92.0,1.483,43.6,85.8825,22.5898,32.5779,Chronic illness,1.934,0.0213,0.0412,0.525,0.1952,0.546,0
Mixed Breed,15.5761,6.0188,6.086,13.74,5.856,252.2,64.6,1.055,39.8,76.8879,24.8788,28.4624,Recent surgery,2.129,0.0193,0.0411,0.5475,0.1413,0.41,1
Beagle,19.5,4.0,5.854,17.64,8.94,173.4,94.7,1.661,61.9,89.75,19.74,29.24,Chronic illness,1.982,0.022,0.0436,0.5247,0.2075,0.598,0
Poodle,8.0,6.2,4.818,9.614,4.43,231.7,50.0,0.906,35.3,69.61,24.68,29.2,Parasite history,1.946,0.0208,0.0405,0.533,0.1809,0.538,1
German Shepherd,35.0,0.5,4.943,9.859,11.95,277.3,76.8,1.084,46.5,70.49,22.27,31.1,Allergies,1.981,0.0216,0.0428,0.5332,0.1734,0.502,1
Beagle,26.0817,5.5141,4.668,9.898,14.956,370.6,100.7,1.048,55.4,68.9599,23.6004,27.3661,Skin conditions history,2.057,0.0216,0.0444,0.5095,0.1786,0.541,0
Mixed Breed,31.6,9.8,6.822,16.511,7.383,195.8,67.9,0.887,48.3,81.78,22.96,34.48,Dental issues,2.079,0.0213,0.0443,0.5254,0.2177,0.646,1
Golden Retriever,27.816,9.3547,4.788,12.492,3.31,191.6,60.1,1.224,52.7,89.4133,23.2014,38.167,Skin conditions history,1.984,0.022,0.0437,0.5272,0.2025,0.538,1
Golden Retriever,39.7161,3.9399,6.795,14.32,3.77,208.3,115.5,1.351,41.2,77.5668,21.109,30.6016,Allergies,2.019,0.0218,0.044,0.5348,0.2372,0.693,1
Yorkshire Terrier,3.0099,0.4868,5.523,14.684,10.046,405.5,70.7,0.989,50.2,82.5283,20.5866,30.001,Dental issues,1.889,0.0209,0.0395,0.5141,0.1896,0.569,0
Labrador Retriever,33.8163,9.6257,5.006,14.278,15.862,368.8,56.8,1.21,29.6,89.8112,22.8069,31.7119,Not vaccinated,2.049,0.0226,0.0463,0.541,0.1914,0.574,0
Golden Retriever,27.2,15.6,5.622,11.684,6.324,265.9,90.3,1.023,54.3,70.53,27.21,29.88,Recent surgery,2.096,0.0226,0.0474,0.5314,0.1831,0.528,1
Poodle,6.0,2.9,4.807,15.412,6.669,173.7,55.0,1.091,34.4,97.39,24.09,31.53,Not vaccinated,1.928,0.0182,0.0351,0.5265,0.2148,0.63,0
Labrador Retriever,37.5979,6.2166,7.013,16.906,8.22,281.8,92.7,1.171,33.7,84.3298,24.5687,30.0176,Allergies,1.93,0.0224,0.0432,0.534,0.2372,0.649,1
German Shepherd,34.4,14.7,3.5,18.427,13.52,319.6,76.1,1.205,31.6,87.34,20.98,32.42,Vaccinated,2.072,0.0233,0.0483,0.5234,0.1943,0.551,1
Golden Retriever,37.1,6.4,6.228,15.452,5.462,140.6,88.8,0.895,47.0,92.78,23.35,31.22,Allergies,1.999,0.022,0.044,0.5271,0.2439,0.697,1
German Shepherd,36.8821,7.9103,5.848,11.802,5.88,243.6,75.1,1.087,68.7,78.4249,22.8238,28.1052,Skin conditions history,1.983,0.0222,0.044,0.5354,0.2138,0.646,0
Yorkshire Terrier,4.789,5.1588,5.469,12.931,5.383,183.1,118.0,1.216,51.2,79.2472,23.4103,29.0824,Chronic illness,1.959,0.0193,0.0378,0.5225,0.1819,0.574,0
Beagle,21.9509,6.6914,6.805,16.17,9.471,196.5,79.8,1.123,49.2,84.4829,26.1536,30.8671,Parasite history,1.892,0.0212,0.0401,0.5372,0.2175,0.634,0
Beagle,15.3508,7.3122,4.067,8.0,8.252,550.0,99.8,0.999,36.1,76.3004,28.5718,27.2053,No previous conditions,2.03,0.0219,0.0444,0.5303,0.199,0.581,0
Beagle,25.8,14.1,6.681,16.268,18.0,210.1,80.2,0.962,54.2,86.26,19.02,32.5,Dental issues,2.053,0.0221,0.0454,0.526,0.2042,0.59,1
Bulldog,16.8055,3.0368,6.92,14.386,11.731,257.1,99.8,1.014,60.8,78.7377,21.8851,29.7217,Previous heart condition,2.192,0.0214,0.0469,0.549,0.1897,0.563,0
Bulldog,16.2,7.3,6.619,12.198,9.489,249.6,79.0,1.492,33.2,70.32,26.23,30.59,Previous kidney disease,2.186,0.0175,0.0383,0.5306,0.1819,0.57,1
Yorkshire Terrier,2.9701,9.6373,4.898,13.52,6.049,341.7,78.3,0.916,31.5,87.5434,27.5666,28.1982,Previous heart condition,2.003,0.0198,0.0397,0.5289,0.1758,0.539,0
German Shepherd,33.2,11.7,3.82,9.356,11.529,260.4,87.3,1.254,39.9,82.35,19.41,30.45,Not vaccinated,2.083,0.0244,0.0508,0.534,0.2131,0.618,0
Mixed Breed,8.3678,8.7573,6.931,12.175,8.22,330.3,71.9,1.888,62.0,65.4062,24.0091,27.7287,Previous kidney disease,2.029,0.0181,0.0367,0.5323,0.1673,0.507,1
German Shepherd,39.5,10.8,5.939,15.939,5.673,361.1,72.6,1.411,57.7,76.74,20.36,29.37,Previous heart condition,2.052,0.022,0.0451,0.5262,0.1974,0.563,0
Poodle,6.4404,9.2791,5.385,12.967,10.529,292.9,126.5,1.126,82.8,84.6987,23.2065,28.4656,Allergies,1.947,0.0201,0.0391,0.5482,0.1913,0.583,1
Rottweiler,24.2191,9.8191,3.764,12.848,7.468,162.8,101.9,1.031,49.8,86.4556,24.8117,32.3865,Recent surgery,1.965,0.0228,0.0448,0.5325,0.2062,0.601,0
Mixed Breed,13.1,6.3,6.693,16.935,7.938,287.9,94.9,1.257,54.1,86.42,22.28,30.92,No previous conditions,1.974,0.0204,0.0403,0.5255,0.193,0.573,0
Golden Retriever,27.8,2.8,4.924,11.821,5.374,271.7,88.0,0.956,38.5,82.28,23.49,30.76,Parasite history,1.972,0.0212,0.0418,0.5312,0.2404,0.693,0
Boxer,17.6698,4.5519,5.346,14.558,4.42,203.9,79.8,1.12,39.5,76.8726,24.2998,32.7222,Parasite history,2.071,0.02,0.0414,0.517,0.2006,0.587,0
Beagle,23.3,12.8,4.924,11.451,9.198,183.6,80.4,1.163,39.5,70.75,20.96,33.21,Parasite history,1.976,0.0208,0.0411,0.5315,0.198,0.579,1
Rottweiler,30.4,9.7,6.229,13.913,10.734,187.3,84.0,1.252,49.5,86.7,19.72,33.25,Recent surgery,2.044,0.0205,0.0419,0.5287,0.1905,0.539,1
Rottweiler,33.8605,1.3735,5.65,14.022,9.513,230.0,106.0,1.254,34.8,83.6657,26.827,28.4519,Vaccinated,2.168,0.0231,0.0501,0.5188,0.2328,0.647,1
Bulldog,20.0781,15.165,5.202,11.679,13.506,249.2,103.7,1.166,43.9,86.6995,19.5158,29.941,Dental issues,2.028,0.0212,0.043,0.5447,0.1479,0.435,1
Boxer,19.6,1.4,5.592,14.146,7.063,276.0,121.4,1.024,57.9,84.33,26.04,31.72,No previous conditions,2.0,0.0198,0.0396,0.5292,0.207,0.628,1
Labrador Retriever,31.9517,3.0522,5.333,13.868,9.719,386.5,96.3,1.843,52.6,85.1209,24.6024,31.1825,Chronic illness,2.104,0.0219,0.0461,0.5278,0.1756,0.515,0
Poodle,4.6095,1.9926,5.955,14.984,7.752,329.4,106.0,1.312,51.3,83.691,20.3088,30.7218,Previous kidney disease,1.968,0.0207,0.0407,0.5486,0.1733,0.501,0
Mixed Breed,17.4473,2.5665,6.363,16.131,13.044,204.6,72.4,1.088,51.2,80.6231,26.6869,29.8515,Recent surgery,1.964,0.0211,0.0414,0.5231,0.1994,0.617,0
German Shepherd,28.72,10.4994,6.205,14.372,3.198,275.3,81.0,1.163,45.1,75.129,19.5568,30.7828,Recent surgery,2.012,0.0241,0.0485,0.528,0.2232,0.662,0
Bulldog,28.0,15.0,6.483,14.536,10.577,222.2,103.8,1.287,41.6,83.9,20.48,30.78,Not vaccinated,2.185,0.0193,0.0422,0.5284,0.1315,0.41,0
Rottweiler,29.2913,1.1982,7.004,17.423,17.462,415.7,111.0,1.417,45.7,87.548,22.1424,28.1256,Chronic illness,2.109,0.0226,0.0477,0.5262,0.1884,0.517,0
German Shepherd,34.7,5.8,6.495,18.212,6.93,207.3,82.2,1.719,54.5,88.55,25.16,34.45,Chronic illness,1.942,0.0209,0.0406,0.5238,0.2153,0.611,0
German Shepherd,39.6091,3.5856,6.949,14.877,10.074,239.0,93.1,1.492,102.1,73.3419,18.4565,31.2588,Previous heart condition,2.055,0.0208,0.0427,0.5243,0.2309,0.674,0
Poodle,8.9,2.0,5.897,11.038,8.416,327.9,87.3,1.158,59.0,73.0,22.88,28.0,Vaccinated,1.94,0.0199,0.0386,0.5321,0.2119,0.629,0
Poodle,8.3577,0.4953,5.133,11.506,5.824,195.0,76.0,1.026,72.7,85.3658,25.468,29.6737,Recent surgery,1.946,0.0205,0.0399,0.534,0.1586,0.462,0
Labrador Retriever,33.5671,10.2533,5.102,13.956,15.976,367.4,54.2,1.212,30.2,90.7789,22.8546,31.9586,Not vaccinated,2.032,0.0224,0.0455,0.53,0.1928,0.559,0
Golden Retriever,32.3,12.0,4.974,10.465,5.418,214.3,81.1,1.262,36.1,74.17,21.18,31.32,Dental issues,2.048,0.019,0.0389,0.5326,0.2203,0.637,1
Yorkshire Terrier,7.9,4.8,5.901,16.815,13.291,197.3,114.0,0.681,67.5,91.28,23.7,33.37,Parasite history,1.979,0.0207,0.041,0.526,0.1739,0.524,1
German Shepherd,34.8607,3.2972,5.906,10.769,10.133,172.2,91.6,1.076,39.7,68.806,23.2875,29.6087,Allergies,2.02,0.0207,0.0418,0.5248,0.2297,0.65,0
Labrador Retriever,33.8518,0.6071,6.506,17.864,7.626,270.5,95.1,1.319,38.1,85.4455,19.0524,34.0401,Skin conditions history,1.91,0.0238,0.0455,0.5182,0.2269,0.633,0
Golden Retriever,31.7,4.8,5.762,16.931,5.996,296.8,81.8,1.045,60.9,79.48,25.61,31.19,Skin conditions history,2.053,0.0217,0.0446,0.5252,0.2347,0.668,1
Bulldog,20.357,3.548,6.403,14.005,6.311,325.8,105.8,0.971,70.7,82.6935,23.7693,30.2617,Not vaccinated,2.16,0.0192,0.0415,0.5226,0.1326,0.405,1
Labrador Retriever,36.0037,8.8863,6.212,16.305,8.813,185.6,90.8,1.223,52.4,92.8997,24.5991,34.1437,Parasite history,1.924,0.0221,0.0425,0.5134,0.2462,0.701,1
Rottweiler,30.8625,7.9964,4.396,9.173,15.898,170.7,98.5,1.517,55.0,60.2892,26.18,31.1031,Not vaccinated,1.97,0.0217,0.0428,0.5255,0.2358,0.683,0
Bulldog,17.1307,5.6656,5.36,10.151,8.543,161.3,75.8,0.741,34.9,83.6888,22.8137,28.424,Dental issues,2.148,0.0194,0.0417,0.532,0.1867,0.584,1
German Shepherd,41.9,0.5,5.745,12.884,9.2,309.2,67.4,1.102,62.7,74.56,20.47,28.73,Allergies,1.96,0.0239,0.0468,0.5296,0.2193,0.63,0
Boxer,27.9307,14.9054,4.814,13.97,4.644,146.7,92.1,1.358,76.6,84.1483,24.3803,32.5682,Recent surgery,2.125,0.0205,0.0436,0.5255,0.1794,0.539,0
Labrador Retriever,25.0,11.6,6.641,16.511,5.304,148.9,86.3,1.374,36.8,82.26,23.31,32.68,Recent surgery,2.015,0.0235,0.0474,0.5258,0.2305,0.648,0
Mixed Breed,12.5758,2.6672,4.68,13.105,16.528,229.9,97.4,1.017,30.7,79.9287,25.0891,30.6499,Skin conditions history,1.921,0.0201,0.0386,0.5342,0.193,0.57,0
Boxer,16.4,6.0,5.757,12.405,11.018,361.3,86.9,0.911,87.2,77.97,26.83,30.76,Dental issues,1.989,0.0214,0.0426,0.5305,0.1765,0.537,0
Labrador Retriever,30.8,13.5,3.879,13.719,6.916,119.9,85.9,1.378,55.8,105.29,24.09,32.64,No previous conditions,1.946,0.0243,0.0473,0.529,0.2335,0.661,0
Yorkshire Terrier,3.2677,5.1938,6.086,14.841,9.531,321.8,90.9,0.403,42.0,90.1919,27.3636,31.0918,Parasite history,1.845,0.0229,0.0423,0.5252,0.1491,0.452,1
Labrador Retriever,32.0,3.1,6.278,16.824,9.544,229.8,102.1,1.632,66.6,86.66,26.04,31.82,Chronic illness,1.937,0.0222,0.043,0.5257,0.1989,0.559,0
Mixed Breed,35.5674,3.0092,5.936,15.536,3.163,272.6,88.6,1.33,33.2,83.9574,21.2567,30.4255,Not vaccinated,1.96,0.0198,0.0388,0.5236,0.1347,0.4,0
German Shepherd,43.4126,10.3209,5.513,14.054,4.557,335.3,110.7,1.164,34.8,81.3486,26.7353,28.9156,Allergies,2.046,0.023,0.0471,0.5322,0.2088,0.602,0
Bulldog,30.0888,4.2266,6.174,16.386,4.697,160.1,70.5,1.275,53.2,84.9918,21.8895,31.3104,Skin conditions history,2.155,0.0187,0.0403,0.5275,0.1412,0.454,0
German Shepherd,45.0,4.0,5.901,20.475,9.424,187.9,116.5,1.249,61.1,93.2,25.81,34.47,Not vaccinated,1.96,0.0235,0.0461,0.5218,0.2403,0.679,0
Mixed Breed,40.0,4.8,5.188,10.678,7.551,400.9,83.8,1.168,41.0,72.04,26.12,29.38,No previous conditions,2.013,0.0196,0.0395,0.5324,0.1637,0.493,1
Rottweiler,32.3044,7.4205,6.697,18.827,3.792,190.4,86.0,1.095,45.2,91.9625,27.8895,31.9954,Skin conditions history,2.083,0.021,0.0437,0.5279,0.1795,0.5,1
Poodle,6.9,11.5,6.896,18.683,11.0,303.4,84.8,0.961,63.5,84.51,25.45,34.91,Skin conditions history,1.88,0.0215,0.0404,0.5233,0.173,0.504,0
Beagle,25.9213,9.1267,5.472,14.496,5.278,264.0,72.4,0.968,32.9,80.6422,28.1395,33.5997,Vaccinated,1.958,0.0218,0.0427,0.5272,0.2121,0.615,1
Boxer,13.369,13.7263,5.617,9.02,7.127,319.8,87.2,0.819,41.8,64.2285,21.4198,28.0502,Vaccinated,1.999,0.0204,0.0408,0.5304,0.1943,0.601,1
Poodle,6.9,8.1,3.5,8.0,3.471,258.9,95.8,1.198,55.4,71.98,26.2,28.0,Recent surgery,1.948,0.022,0.0429,0.5357,0.1942,0.581,0
Beagle,22.5331,9.6699,4.82,14.617,9.419,322.1,71.1,1.108,42.5,95.4871,25.4645,30.8239,Dental issues,1.936,0.0227,0.0439,0.5108,0.224,0.664,0
Yorkshire Terrier,4.7034,14.3826,8.006,8.09,9.867,532.0,95.9,1.104,39.9,60.419,22.7751,27.3503,Vaccinated,1.929,0.0206,0.0397,0.527,0.1876,0.604,0
Beagle,25.3,2.2,5.576,13.83,5.317,305.3,103.9,0.897,33.8,79.29,22.1,28.0,Allergies,2.029,0.0215,0.0436,0.5292,0.2282,0.664,0
Labrador Retriever,43.4962,3.9002,5.37,14.489,5.128,375.8,101.8,1.336,35.1,78.6762,24.0171,32.5921,Allergies,1.926,0.0234,0.0451,0.5058,0.2379,0.661,1
Labrador Retriever,44.8632,1.3781,6.561,19.223,10.491,157.0,80.2,1.73,47.1,82.5186,25.253,31.98,Chronic illness,2.058,0.0219,0.0451,0.5125,0.2601,0.705,0
Bulldog,16.5267,10.1811,5.066,11.953,5.787,261.1,96.9,0.781,41.9,82.9518,26.3997,32.0356,Dental issues,2.243,0.0198,0.0444,0.5238,0.1747,0.532,0
Golden Retriever,37.137,6.9283,5.556,13.174,3.443,279.1,88.0,1.719,35.0,79.1353,24.1983,31.0601,Previous kidney disease,1.995,0.0208,0.0415,0.5227,0.2336,0.671,1
Mixed Breed,29.8568,4.9758,6.405,17.53,3.642,262.6,90.0,1.442,48.6,86.4106,26.4845,33.7416,Recent surgery,1.986,0.0209,0.0415,0.5371,0.2128,0.647,0
